rule,file,line,col,severity,message,suggestion
R01,src/common/aes/aes_c.c,377,10,high,Hardcoded key array size (60 bytes) for 'skey' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/common/aes/aes_c.c,682,10,high,Hardcoded key array size (22 bytes) for 'skey' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/common/aes/aes_c.c,691,10,high,Hardcoded key array size (30 bytes) for 'skey' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/common/pqclean_shims/aes.h,40,76,high,Hardcoded key array size (32 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/common/pqclean_shims/aes.h,47,76,high,Hardcoded key array size (16 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/common/sha2/sha2_c.c,8,0,medium,Hardcoded key/buffer size macro 'PQC_SHA256CTX_BYTES' value (40) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/common/sha2/sha2_c.c,9,0,medium,Hardcoded key/buffer size macro 'PQC_SHA512CTX_BYTES' value (72) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/common/sha3/avx512vl_sha3.c,20,0,medium,Hardcoded key/buffer size macro 'KECCAK_CTX_ALIGNMENT' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/common/sha3/avx512vl_sha3x4.c,20,0,medium,Hardcoded key/buffer size macro 'KECCAK_X4_CTX_ALIGNMENT' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/common/sha3/xkcp_sha3.c,24,0,medium,Hardcoded key/buffer size macro 'KECCAK_CTX_ALIGNMENT' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/common/sha3/xkcp_sha3x4.c,19,0,medium,Hardcoded key/buffer size macro 'KECCAK_X4_CTX_ALIGNMENT' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/bike/kem_bike.h,13,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_bike_l1_length_shared_secret' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/bike/kem_bike.h,28,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_bike_l3_length_shared_secret' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/bike/kem_bike.h,43,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_bike_l5_length_shared_secret' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,11,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_348864_length_ciphertext' value (96) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,12,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_348864_length_shared_secret' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,26,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_348864f_length_ciphertext' value (96) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,27,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_348864f_length_shared_secret' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,41,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_460896_length_ciphertext' value (156) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,42,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_460896_length_shared_secret' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,56,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_460896f_length_ciphertext' value (156) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,57,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_460896f_length_shared_secret' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,71,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_6688128_length_ciphertext' value (208) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,72,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_6688128_length_shared_secret' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,86,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_6688128f_length_ciphertext' value (208) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,87,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_6688128f_length_shared_secret' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
