rule,file,line,col,severity,message,suggestion
R01,src/dtls13.c,112,0,medium,Hardcoded key/buffer size macro 'DTLS13_MIN_CIPHERTEXT' value (16) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/internal.c,32882,28,high,Hardcoded key array size (1 bytes) for 'cert' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/quic.c,1111,27,high,Hardcoded key array size (1 bytes) for 'ctx' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/ssl_api_ext.c,1645,0,medium,Hardcoded key/buffer size macro 'TICKET_KEY_CB_RET_OK' value (1) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/ssl_api_ext.c,1646,0,medium,Hardcoded key/buffer size macro 'TICKET_KEY_CB_RET_RENEW' value (2) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/ssl_asn1.c,4280,0,medium,Hardcoded key/buffer size macro 'UTCTIME_LEN' value (13) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/ssl_certman.c,1077,0,medium,Hardcoded key/buffer size macro 'WOLFSSL_CACHE_CERT_VERSION' value (1) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/ssl_ech.c,52,9,high,Hardcoded key array size (1 bytes) for 'hpke' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/tls.c,7735,20,high,Hardcoded key array size (1 bytes) for 'cert' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/tls.c,8079,8,medium,Hardcoded key/buffer size macro 'MAX_KEYSHARE_NAMED_GROUPS' value (24) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/tls.c,8081,8,medium,Hardcoded key/buffer size macro 'MAX_KEYSHARE_NAMED_GROUPS' value (12) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/tls13.c,545,0,medium,Hardcoded key/buffer size macro 'BINDER_KEY_LABEL_SZ' value (10) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/tls13.c,571,0,medium,Hardcoded key/buffer size macro 'BINDER_KEY_RESUME_LABEL_SZ' value (10) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/tls13.c,656,0,medium,Hardcoded key/buffer size macro 'CLIENT_HANDSHAKE_LABEL_SZ' value (12) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/tls13.c,712,0,medium,Hardcoded key/buffer size macro 'SERVER_HANDSHAKE_LABEL_SZ' value (12) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/tls13.c,1480,0,medium,Hardcoded key/buffer size macro 'WRITE_KEY_LABEL_SZ' value (3) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/x509.c,6876,0,medium,Hardcoded key/buffer size macro 'ACERT_NUM_DIR_TAGS' value (4) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api.c,19840,9,high,Hardcoded key array size (20 bytes) for 'skid' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api.c,33773,9,high,Hardcoded key array size (256 bytes) for 'priv' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api.c,33773,20,high,Hardcoded key array size (256 bytes) for 'pub' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api.c,33885,9,high,Hardcoded key array size (32 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api.c,34432,9,high,Hardcoded key array size (32 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api.c,34724,9,high,Hardcoded key array size (32 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/api.h,110,8,medium,Hardcoded key/buffer size macro 'DSA_SIG_SIZE' value (40) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/api.h,122,8,medium,Hardcoded key/buffer size macro 'ECC_PRIV_KEY_BUF' value (66) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/api.h,127,8,medium,Hardcoded key/buffer size macro 'KEY14' value (14) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/api.h,129,8,medium,Hardcoded key/buffer size macro 'KEY14' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/api.h,132,8,medium,Hardcoded key/buffer size macro 'KEY16' value (16) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/api.h,134,8,medium,Hardcoded key/buffer size macro 'KEY16' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/api.h,137,8,medium,Hardcoded key/buffer size macro 'KEY20' value (20) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/api.h,139,8,medium,Hardcoded key/buffer size macro 'KEY20' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/api.h,142,8,medium,Hardcoded key/buffer size macro 'KEY24' value (24) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/api.h,144,8,medium,Hardcoded key/buffer size macro 'KEY24' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/api.h,147,8,medium,Hardcoded key/buffer size macro 'KEY28' value (28) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/api.h,149,8,medium,Hardcoded key/buffer size macro 'KEY28' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/api.h,152,8,medium,Hardcoded key/buffer size macro 'KEY30' value (30) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/api.h,154,8,medium,Hardcoded key/buffer size macro 'KEY30' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/api.h,156,4,medium,Hardcoded key/buffer size macro 'KEY32' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/api.h,158,8,medium,Hardcoded key/buffer size macro 'KEY40' value (40) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/api.h,160,8,medium,Hardcoded key/buffer size macro 'KEY40' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/api.h,163,8,medium,Hardcoded key/buffer size macro 'KEY48' value (48) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/api.h,165,8,medium,Hardcoded key/buffer size macro 'KEY48' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/api.h,168,8,medium,Hardcoded key/buffer size macro 'KEY64' value (64) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/api.h,170,8,medium,Hardcoded key/buffer size macro 'KEY64' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/test_aes.c,2611,22,high,Hardcoded key array size (16 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_aes.c,3850,13,high,Hardcoded key array size (60 bytes) for 'ct' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_aes.c,3951,13,high,Hardcoded key array size (1 bytes) for 'ct' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_aes.c,5910,4,medium,Hardcoded key/buffer size macro 'NUM_SECTORS' value (3) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/test_arc4.c,149,0,medium,Hardcoded key/buffer size macro 'MC_ARC4_KEY_SZ' value (16) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/api/test_ascon.c,100,13,high,Hardcoded key array size (48 bytes) for 'ct' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_ascon.c,188,13,high,Hardcoded key array size (4 bytes) for 'ct' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_camellia.c,272,9,high,Hardcoded key array size (32 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_chacha20_poly1305.c,291,15,high,Hardcoded key array size (32 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_chacha20_poly1305.c,654,9,high,Hardcoded key array size (8 bytes) for 'ct' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_evp_cipher.c,1503,15,high,Hardcoded key array size (16 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_evp_cipher.c,2857,9,high,Hardcoded key array size (32 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_evp_pkey.c,641,16,high,Hardcoded key array size (80 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_evp_pkey.c,2094,18,high,Hardcoded key array size (256 bytes) for 'sig' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_lms_xmss.c,171,12,high,Hardcoded key array size (64 bytes) for 'pub' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_mldsa.c,1254,9,high,Hardcoded key array size (10 bytes) for 'ctx' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_ossl_bio.c,809,9,high,Hardcoded key array size (20 bytes) for 'connectAddr' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_ossl_bio.c,1395,22,high,Hardcoded key array size (300 bytes) for 'cert' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_ossl_x509_acert.c,116,17,high,Hardcoded key array size (4 bytes) for 'acerts' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_ossl_x509_acert.c,120,17,high,Hardcoded key array size (4 bytes) for 'pkeys' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_ossl_x509_acert.c,152,17,high,Hardcoded key array size (4 bytes) for 'acerts' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_random.c,87,9,high,Hardcoded key array size (32 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_random.c,172,9,high,Hardcoded key array size (32 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_slhdsa.c,653,9,high,Hardcoded key array size (10 bytes) for 'ctx' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_slhdsa.c,757,9,high,Hardcoded key array size (10 bytes) for 'ctx' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_slhdsa.c,834,9,high,Hardcoded key array size (10 bytes) for 'ctx' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_slhdsa.c,1029,9,high,Hardcoded key array size (10 bytes) for 'ctx' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_slhdsa.c,1349,9,high,Hardcoded key array size (10 bytes) for 'ctx' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_sm2.c,45,12,high,Hardcoded key array size (1 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_sm2.c,85,12,high,Hardcoded key array size (1 bytes) for 'keyA' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_sm2.c,86,12,high,Hardcoded key array size (1 bytes) for 'keyB' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_sm2.c,156,12,high,Hardcoded key array size (1 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_sm2.c,258,12,high,Hardcoded key array size (1 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_sm2.c,375,12,high,Hardcoded key array size (1 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_sm2.c,481,12,high,Hardcoded key array size (1 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_sm2.c,578,12,high,Hardcoded key array size (1 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/api/test_sm2.c,580,18,high,Hardcoded key array size (72 bytes) for 'sig' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/quic.c,459,25,high,Hardcoded key array size (16 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/srp.c,259,9,high,Hardcoded key array size (64 bytes) for 'pub' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/suites.c,355,9,high,Hardcoded key array size (80 bytes) for 'cert' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/suites.c,407,9,high,Hardcoded key array size (80 bytes) for 'cert' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,tests/unit.h,141,0,medium,Hardcoded key/buffer size macro 'TEST_SKIPPED' value (3) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,tests/unit.h,142,0,medium,Hardcoded key/buffer size macro 'TEST_SKIPPED_NO_MSGS' value (4) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,wolfcrypt/src/asn.c,34628,16,high,Hardcoded key array size (1 bytes) for 'cert' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,wolfcrypt/src/des3.c,478,4,medium,Hardcoded key/buffer size macro 'DES_KEYLEN' value (8) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
