rule,file,line,col,severity,message,suggestion,filter_reason
R01,3rdparty/p256-m/p256-m_driver_entrypoints.c,35,0,medium,Hardcoded key/buffer size macro 'PSA_PUBKEY_SIZE' value (65) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).,excluded_non_core_path
R01,3rdparty/p256-m/p256-m_driver_entrypoints.c,37,0,medium,Hardcoded key/buffer size macro 'P256_PUBKEY_SIZE' value (64) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).,excluded_non_core_path
R01,3rdparty/p256-m/p256-m_driver_entrypoints.c,38,0,medium,Hardcoded key/buffer size macro 'PRIVKEY_SIZE' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).,excluded_non_core_path
R01,3rdparty/p256-m/p256-m_driver_entrypoints.c,39,0,medium,Hardcoded key/buffer size macro 'SHARED_SECRET_SIZE' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).,excluded_non_core_path
R01,3rdparty/p256-m/p256-m_driver_entrypoints.c,40,0,medium,Hardcoded key/buffer size macro 'SIGNATURE_SIZE' value (64) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).,excluded_non_core_path
R02,3rdparty/p256-m/p256-m_driver_entrypoints.c,47,4,medium,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,Implement crypto agility by adding ML-KEM or ML-DSA cases.,excluded_non_core_path
R02,3rdparty/p256-m/p256-m_driver_entrypoints.c,76,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.,excluded_non_core_path
R02,3rdparty/p256-m/p256-m_driver_entrypoints.c,81,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.,excluded_non_core_path
R02,3rdparty/p256-m/p256-m_driver_entrypoints.c,88,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.,excluded_non_core_path
R02,3rdparty/p256-m/p256-m_driver_entrypoints.c,116,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.,excluded_non_core_path
R02,3rdparty/p256-m/p256-m_driver_entrypoints.c,131,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.,excluded_non_core_path
R03,3rdparty/p256-m/p256-m_driver_entrypoints.c,158,12,high,Stack-allocated crypto buffer 'public_key_buffer' of large size (P256_PUBKEY_SIZE) detected.,PQC keys/buffers are large; allocate on the heap or use caller-provided memory to prevent stack exhaustion.,excluded_non_core_path
R02,3rdparty/p256-m/p256-m_driver_entrypoints.c,161,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.,excluded_non_core_path
R02,3rdparty/p256-m/p256-m_driver_entrypoints.c,196,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.,excluded_non_core_path
R02,3rdparty/p256-m/p256-m_driver_entrypoints.c,229,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.,excluded_non_core_path
